,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
3300,2019-1381,2019-05-15,1,Vente,155000.0,,HAMEAU DE MONS,B159,1560.0,01364,Saint-Jean-sur-Reyssouze,01,013640000A1027,0,,,,,S,sols,38.0,5.075413,46.402049
3301,2019-1382,2019-05-28,1,Vente,174000.0,66.0,RUE DES COLCHIQUES,0082,1960.0,01289,Péronnas,01,01289000AD0097,0,1.0,Maison,88.0,4.0,S,sols,710.0,5.214557,46.184792
3306,2019-1386,2019-05-13,1,Vente,202000.0,17.0,RTE DE LENT,0020,1960.0,01405,Servas,01,014050000C0379,0,1.0,Maison,100.0,5.0,S,sols,1080.0,5.169014,46.130473
3307,2019-1386,2019-05-13,1,Vente,202000.0,17.0,RTE DE LENT,0020,1960.0,01405,Servas,01,014050000C0379,0,1.0,Maison,100.0,5.0,AG,terrains d'agrément,920.0,5.169014,46.130473
3308,2019-1387,2019-05-22,1,Vente,70445.0,1785.0,GR GRANDE RUE,0190,1570.0,01159,Feillens,01,011590000B2988,0,1.0,Maison,87.0,4.0,S,sols,843.0,4.89583,46.344025
3309,2019-1388,2019-05-24,2,Vente,61000.0,,LES BEYS,B017,1570.0,01159,Feillens,01,01159000AB0368,0,,,,,S,sols,215.0,4.882949,46.342505
3310,2019-1388,2019-05-24,2,Vente,61000.0,,LES BEYS,B017,1570.0,01159,Feillens,01,01159000AB0371,0,,,,,S,sols,11.0,4.882569,46.342264
3311,2019-1388,2019-05-24,2,Vente,61000.0,,LES BEYS,B017,1570.0,01159,Feillens,01,01159000AB0372,0,,,,,J,jardins,568.0,4.882888,46.342323
3313,2019-1390,2019-05-29,1,Vente,299400.0,,BIEF GODARD,B005,1290.0,01134,Crottet,01,01134000AB0044,0,,,,,S,sols,230.0,4.888737,46.282419
3314,2019-1390,2019-05-29,1,Vente,299400.0,140.0,BIEF GODARD,B005,1290.0,01134,Crottet,01,01134000AB0045,0,1.0,Maison,129.0,5.0,S,sols,1235.0,4.889058,46.282368
3318,2019-1392,2019-05-21,1,Vente,170000.0,,LA GOUILLE,B013,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1551,0,,,,,S,sols,174.0,4.916335,46.296197
3319,2019-1392,2019-05-21,1,Vente,170000.0,,LA GOUILLE,B013,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1876,0,,,,,AG,terrains d'agrément,5.0,4.915973,46.29552
3320,2019-1392,2019-05-21,1,Vente,170000.0,,LA GOUILLE,B013,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1878,0,,,,,AG,terrains d'agrément,3.0,4.915979,46.295904
3321,2019-1392,2019-05-21,1,Vente,170000.0,,LA GOUILLE,B013,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1882,0,,,,,AG,terrains d'agrément,1.0,4.915976,46.295499
3322,2019-1392,2019-05-21,1,Vente,170000.0,,LA GOUILLE,B013,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1885,0,,,,,T,terres,884.0,4.916425,46.295848
3323,2019-1392,2019-05-21,1,Vente,170000.0,137.0,RUE DU BOURG,0015,1380.0,01332,Saint-André-de-Bâgé,01,013320000A1886,0,1.0,Maison,78.0,3.0,S,sols,1512.0,4.91618,46.295874
3324,2019-1393,2019-05-14,1,Vente,169650.0,15.0,RUE HECTOR BERLIOZ,1845,1000.0,01053,Bourg-en-Bresse,01,01053000BP0443,0,1.0,Maison,91.0,5.0,S,sols,317.0,5.229689,46.222176
3325,2019-1394,2019-06-03,1,Vente,252300.0,15.0,LOT CHAMP ROY,A030,1370.0,01350,Saint-Étienne-du-Bois,01,013500000F0388,0,1.0,Maison,114.0,5.0,S,sols,1157.0,5.2826,46.291238
3326,2019-1395,2019-06-03,2,Vente,156000.0,,CRANGEAT,B050,1340.0,01024,Attignat,01,01024000AO0106,0,,,,,T,terres,1337.0,5.191968,46.285167
3327,2019-1395,2019-06-03,2,Vente,156000.0,,CRANGEAT,B050,1340.0,01024,Attignat,01,01024000AO0107,0,,,,,T,terres,1363.0,5.192363,46.285149
3328,2019-1395,2019-06-03,2,Vente,156000.0,,CRANGEAT,B050,1340.0,01024,Attignat,01,01024000AO0108,0,,,,,T,terres,1367.0,5.192721,46.285122
3329,2019-1395,2019-06-03,2,Vente,156000.0,,CRANGEAT,B050,1340.0,01024,Attignat,01,01024000AO0109,0,,,,,T,terres,1391.0,5.193097,46.285145
3330,2019-1395,2019-06-03,2,Vente,156000.0,,CRANGEAT,B050,1340.0,01024,Attignat,01,01024000AO0110,0,,,,,T,terres,3.0,5.191743,46.285262
