,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5623,2017-2199,2017-08-08,1,Vente,314800.0,526.0,,RUE DES ECOLES,0142,1000.0,01344,Saint-Denis-lès-Bourg,01,,,01344000AO0014,,,,,,,,,,,,,0,1.0,Maison,150.0,6.0,S,sols,,,992.0,5.196817,46.202287
5624,2017-2199,2017-08-08,1,Vente,314800.0,,,RUE DES ECOLES,0142,1000.0,01344,Saint-Denis-lès-Bourg,01,,,01344000AO0179,,,,,,,,,,,,,0,,,,,S,sols,,,183.0,5.196653,46.202485
5625,2017-2199,2017-08-08,1,Vente,314800.0,,,RUE DES ECOLES,0142,1000.0,01344,Saint-Denis-lès-Bourg,01,,,01344000AO0180,,,,,,,,,,,,,0,,,,,S,sols,,,14.0,5.19679,46.202424
5626,2017-2200,2017-08-11,1,Vente,1600.0,,,CIZE,B011,1250.0,01106,Cize,01,,,011060000A1149,,,,,,,,,,,,,0,,,,,P,prés,,,161.0,5.446375,46.204121
5627,2017-2201,2017-08-11,1,Vente,184000.0,289.0,,RUE DES CHARMILLES,0031,1310.0,01301,Polliat,01,,,01301000AC0067,,,,,,,,,,,,,0,1.0,Maison,118.0,6.0,S,sols,,,776.0,5.132336,46.253757
5628,2017-2202,2017-08-03,1,Vente,166300.0,22.0,,MTE DE LA VIERGE,0250,1240.0,01211,Lent,01,,,012110000A1171,,,,,,,,,,,,,0,1.0,Maison,89.0,3.0,S,sols,,,614.0,5.19443,46.118951
5629,2017-2202,2017-08-03,1,Vente,166300.0,,,VILLAGE,B103,1240.0,01211,Lent,01,,,012110000A1179,,,,,,,,,,,,,0,,,,,S,sols,,,209.0,5.194561,46.118782
5630,2017-2203,2017-08-17,1,Vente,68000.0,,,LE BIOLAY,B012,1370.0,01350,Saint-Étienne-du-Bois,01,,,01350000AA0166,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1063.0,5.302689,46.291004
5631,2017-2204,2017-07-27,1,Vente,206818.0,5346.0,,LA GRIPINIERE,B003,1380.0,01026,Bâgé-le-Châtel,01,,,010260000A1016,,,,,,,,,,,,,0,1.0,Maison,100.0,4.0,AG,terrains d'agrément,,,534.0,4.927414,46.311313
5632,2017-2204,2017-07-27,1,Vente,206818.0,5346.0,,LA GRIPINIERE,B003,1380.0,01026,Bâgé-le-Châtel,01,,,010260000A1016,,,,,,,,,,,,,0,1.0,Maison,100.0,4.0,S,sols,,,500.0,4.927414,46.311313
5633,2017-2205,2017-07-27,1,Vente,242850.0,379.0,,RTE DES BAUDETS,0015,1290.0,01042,Bey,01,,,010420000A0035,,,,,,,,,,,,,0,1.0,Maison,107.0,3.0,S,sols,,,511.0,4.837856,46.223908
5634,2017-2205,2017-07-27,1,Vente,242850.0,379.0,,RTE DES BAUDETS,0015,1290.0,01042,Bey,01,,,010420000A0035,,,,,,,,,,,,,0,1.0,Maison,107.0,3.0,AG,terrains d'agrément,,,1879.0,4.837856,46.223908
5635,2017-2205,2017-07-27,1,Vente,242850.0,,,LA POCHETTE,B042,1290.0,01042,Bey,01,,,010420000A0201,,,,,,,,,,,,,0,,,,,P,prés,,,830.0,4.83691,46.22384
5636,2017-2206,2017-07-25,1,Vente,156000.0,5359.0,,COBERTHOUD,B067,1380.0,01025,Bâgé-Dommartin,01,1144.0,Dommartin,010251440B0997,011440000B0997,,,,,,,,,,,,0,1.0,Maison,99.0,3.0,S,sols,,,618.0,5.010832,46.330369
5637,2017-2206,2017-07-25,1,Vente,156000.0,,,COBERTHOUD,B067,1380.0,01025,Bâgé-Dommartin,01,1144.0,Dommartin,010251440B0999,011440000B0999,,,,,,,,,,,,0,,,,,P,prés,,,53.0,5.010963,46.330514
5638,2017-2207,2017-02-07,1,Adjudication,156000.0,39.0,,AV ALSACE LORRAINE,0200,1000.0,01053,Bourg-en-Bresse,01,,,01053000AN0187,,,101,,123,,140,,141.0,,,,4,2.0,Appartement,215.0,7.0,,,,,,5.222989,46.203185
5639,2017-2208,2017-07-28,1,Vente,238450.0,91.0,,LOT LA CROISEE,A001,1380.0,01332,Saint-André-de-Bâgé,01,,,013320000A0895,,,,,,,,,,,,,0,1.0,Maison,116.0,5.0,S,sols,,,500.0,4.912089,46.288556
5640,2017-2208,2017-07-28,1,Vente,238450.0,91.0,,LOT LA CROISEE,A001,1380.0,01332,Saint-André-de-Bâgé,01,,,013320000A0895,,,,,,,,,,,,,0,1.0,Maison,116.0,5.0,AG,terrains d'agrément,,,727.0,4.912089,46.288556
5641,2017-2209,2017-07-28,1,Vente,323000.0,130.0,,ALL DES ERABLES,0050,1380.0,01332,Saint-André-de-Bâgé,01,,,013320000A1939,,,,,,,,,,,,,0,1.0,Maison,178.0,6.0,S,sols,,,1952.0,4.915813,46.295555
5642,2017-2210,2017-07-25,1,Vente,114000.0,39.0,,RUE MAL DE LATTRE DE TASSIGNY,0300,1190.0,01305,Pont-de-Vaux,01,,,01305000AK0212,,,1,,14,41.6,8,,9.0,194.39,,,4,2.0,Appartement,211.0,9.0,,,,,,4.937978,46.431539
5643,2017-2211,2017-07-25,1,Vente,1.0,,,PRE DE L ETANG,B217,1380.0,01025,Bâgé-Dommartin,01,1025.0,Bâgé-la-Ville,010250000H1188,,,,,,,,,,,,,0,,,,,S,sols,,,746.0,4.948504,46.311783
5644,2017-2211,2017-07-25,1,Vente,1.0,,,PRE DE L ETANG,B217,1380.0,01025,Bâgé-Dommartin,01,1025.0,Bâgé-la-Ville,010250000H1189,,,,,,,,,,,,,0,,,,,S,sols,,,9.0,4.948836,46.310751
5645,2017-2211,2017-07-25,1,Vente,1.0,,,PRE DE L ETANG,B217,1380.0,01025,Bâgé-Dommartin,01,1025.0,Bâgé-la-Ville,010250000H1190,,,,,,,,,,,,,0,,,,,S,sols,,,151.0,4.948916,46.310613
5646,2017-2211,2017-07-25,1,Vente,1.0,,,PRE DE L ETANG,B217,1380.0,01025,Bâgé-Dommartin,01,1025.0,Bâgé-la-Ville,010250000H1130,,,,,,,,,,,,,0,,,,,S,sols,,,44.0,4.948474,46.312675
5647,2017-2212,2017-07-25,1,Vente,1000.0,,,PRE DE L ETANG,B217,1380.0,01025,Bâgé-Dommartin,01,1025.0,Bâgé-la-Ville,010250000H1128,,,,,,,,,,,,,0,,,,,S,sols,,,387.0,4.949286,46.310561
5648,2017-2213,2017-07-27,2,Vente,254053.0,,,GRANGES PIROUX,B062,1240.0,01211,Lent,01,,,012110000E0551,,,,,,,,,,,,,0,,,,,P,prés,,,157.0,5.188793,46.117414
5649,2017-2213,2017-07-27,2,Vente,254053.0,,,GRANGES PIROUX,B062,1240.0,01211,Lent,01,,,012110000E0552,,,,,,,,,,,,,0,,,,,P,prés,,,6195.0,,
5650,2017-2214,2017-08-04,1,Vente,197300.0,5568.0,,LA CROIX,B029,1380.0,01343,Saint-Cyr-sur-Menthon,01,,,01343000ZM0421,,,,,,,,,,,,,0,1.0,Maison,108.0,5.0,S,sols,,,991.0,4.970646,46.272182
5651,2017-2215,2017-07-27,1,Vente,81352.0,,,GRAVET,B025,1290.0,01334,Saint-André-d'Huiriat,01,,,013340000A1004,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1526.0,4.90906,46.216038
5652,2017-2216,2017-07-27,1,Vente,150000.0,1724.0,,RTE DE BAGE,0005,1340.0,01236,Marsonnas,01,,,01236000AM0199,,,,,,,,,,,,,0,1.0,Maison,150.0,3.0,S,sols,,,2806.0,5.06206,46.329119
5653,2017-2216,2017-07-27,1,Vente,150000.0,,,AU BERENTET,B002,1340.0,01236,Marsonnas,01,,,01236000AM0202,,,,,,,,,,,,,0,,,,,S,sols,,,335.0,5.062131,46.329296
